zone,volume,,,,,,,
11,67.1867,,,,,,,
12,41.1301,,,,,,,
13,635.465,,,,,,,
14,99.8499,,,,,,,
15,34.3321,,,,,,,
21,99.9403,,,,,,,
22,67.7434,,,,,,,
23,948.491,,,,,,,
24,131.653,,,,,,,
25,52.1411,,,,,,,
31,419.117,,,,,,,
32,528.651,,,,,,,
33,4082.74,,,,,,,
34,548.216,,,,,,,
35,237.262,,,,,,,
41,127.498,,,,,,,
42,158.102,,,,,,,
43,1253.16,,,,,,,
44,164.005,,,,,,,
45,73.8325,,,,,,,
,,,,,,,,
,,,,,,,,
,9770.5161,,,,,,,
,,,,,,core volume(m3),,16
total volume(m3),0.009770516,,,,,packing fraction,,0.6
,,,,,,,,
,,,,,,triso layer in a pebble,,
